句子,层,Token,曲率 K(t),曲率演化速率,平均欧氏距离 D(t),距离变化率 |ΔD(L)|,语义漂移系数 S(t)
铁门很重。,11,重,5.12125240809481e-05,0.0001545483466808,0.7307899232516029,0.0618196417889598,5.756855026812088e-05
铁门很重。,11,。,2.650793883859636e-06,-4.856173019708847e-05,0.8061609101009793,0.0753709868493764,5.861147744557501e-05
铁门很重。,12,铁,-6.096302846222272e-05,-6.361382234608236e-05,0.0,0.8061609101009793,0.0
铁门很重。,12,门,6.618519332026876e-05,0.0001271482217824,0.6242086327149793,0.6242086327149793,0.0001050869883045
铁门很重。,12,很,-9.12974272418832e-05,-0.0001574826205621,0.6770590131570573,0.052850380442078,0.000158116631223
铁门很重。,12,重,-0.0001102816521667,-1.8984224924870416e-05,0.746498959195829,0.0694399460387716,7.654136820290194e-05
铁门很重。,12,。,-0.0001074437775958,2.8378745708783777e-06,0.8110693955774927,0.0645704363816637,0.0002446920340793
铁门很重。,13,铁,-8.140564293487384e-05,2.6038134661001395e-05,0.0,0.8110693955774927,0.0
铁门很重。,13,门,1.8231553152888463e-05,9.96371960877623e-05,0.5885723737305231,0.5885723737305231,5.743157218356709e-05
铁门很重。,13,很,-4.4955467633948045e-06,-2.272709991628327e-05,0.6340536120827037,0.0454812383521806,5.751119500112888e-05
铁门很重。,13,重,2.4767059467073857e-06,6.97225271010219e-06,0.6979641703618121,0.0639105582791084,5.742433840276465e-05
铁门很重。,13,。,6.122864501767805e-05,5.875193907097067e-05,0.7706442133224122,0.0726800429606,0.0016818637725207
铁门很重。,14,铁,-0.0001422115680555,-0.0002034402130731,0.0,0.7706442133224122,0.0
铁门很重。,14,门,0.0001146013921935,0.000256812960249,0.568277046051097,0.568277046051097,5.737352384904428e-05
铁门很重。,14,很,0.0001178888106086,3.287418415077106e-06,0.6046522986432318,0.0363752525921348,5.759317274099684e-05
铁门很重。,14,重,7.244506568298529e-06,-0.0001106443040403,0.6696135585707401,0.0649612599275083,0.0001819601674771
铁门很重。,14,。,0.0001312730148431,0.0001240285082748,0.7325687021234275,0.0629551435526873,0.0002195795772318
铁门很重。,15,铁,-0.0004006701083468,-0.00053194312319,0.0,0.7325687021234275,0.0
